run_id,station_id,forecast_at,horizon_h,predicted_load_kw,predicted_busy_count,predicted_idle_count,congestion_level,is_peak
f-20260915-232113,1,2026-09-15T00:00:00+08:00,1,343.239,9,27,low,0
f-20260915-232113,1,2026-09-15T01:00:00+08:00,2,259.421,7,29,low,0
f-20260915-232113,1,2026-09-15T02:00:00+08:00,3,187.683,5,31,low,0
f-20260915-232113,1,2026-09-15T03:00:00+08:00,4,164.501,5,31,low,0
f-20260915-232113,1,2026-09-15T04:00:00+08:00,5,172.76,5,31,low,0
f-20260915-232113,1,2026-09-15T05:00:00+08:00,6,266.429,8,28,low,0
f-20260915-232113,1,2026-09-15T06:00:00+08:00,7,557.206,15,21,low,0
f-20260915-232113,1,2026-09-15T07:00:00+08:00,8,935.873,26,10,medium,0
f-20260915-232113,1,2026-09-15T08:00:00+08:00,9,1242.924,33,3,high,0
f-20260915-232113,1,2026-09-15T09:00:00+08:00,10,1155.205,33,3,high,0
f-20260915-232113,1,2026-09-15T10:00:00+08:00,11,915.047,25,11,medium,0
f-20260915-232113,1,2026-09-15T11:00:00+08:00,12,771.022,22,14,medium,0
f-20260915-232113,1,2026-09-15T12:00:00+08:00,13,803.223,23,13,medium,0
f-20260915-232113,1,2026-09-15T13:00:00+08:00,14,766.637,21,15,medium,0
f-20260915-232113,1,2026-09-15T14:00:00+08:00,15,721.663,20,16,medium,0
f-20260915-232113,1,2026-09-15T15:00:00+08:00,16,803.819,21,15,medium,0
f-20260915-232113,1,2026-09-15T16:00:00+08:00,17,915.891,26,10,medium,0
f-20260915-232113,1,2026-09-15T17:00:00+08:00,18,1155.166,31,5,high,0
f-20260915-232113,1,2026-09-15T18:00:00+08:00,19,1242.753,34,2,high,1
f-20260915-232113,1,2026-09-15T19:00:00+08:00,20,1168.173,33,3,high,1
f-20260915-232113,1,2026-09-15T20:00:00+08:00,21,937.244,26,10,medium,0
f-20260915-232113,1,2026-09-15T21:00:00+08:00,22,718.518,20,16,medium,0
f-20260915-232113,1,2026-09-15T22:00:00+08:00,23,548.26,15,21,low,0
f-20260915-232113,1,2026-09-15T23:00:00+08:00,24,406.594,11,25,low,0
f-20260915-232113,2,2026-09-15T00:00:00+08:00,1,365.19,10,26,low,0
f-20260915-232113,2,2026-09-15T01:00:00+08:00,2,252.217,7,29,low,0
f-20260915-232113,2,2026-09-15T02:00:00+08:00,3,187.169,5,31,low,0
f-20260915-232113,2,2026-09-15T03:00:00+08:00,4,166.778,5,31,low,0
f-20260915-232113,2,2026-09-15T04:00:00+08:00,5,168.576,5,31,low,0
f-20260915-232113,2,2026-09-15T05:00:00+08:00,6,269.762,8,28,low,0
f-20260915-232113,2,2026-09-15T06:00:00+08:00,7,553.063,15,21,low,0
f-20260915-232113,2,2026-09-15T07:00:00+08:00,8,944.56,26,10,medium,0
f-20260915-232113,2,2026-09-15T08:00:00+08:00,9,1199.693,32,4,high,0
f-20260915-232113,2,2026-09-15T09:00:00+08:00,10,1148.091,31,5,high,0
f-20260915-232113,2,2026-09-15T10:00:00+08:00,11,889.655,24,12,medium,0
f-20260915-232113,2,2026-09-15T11:00:00+08:00,12,760.334,21,15,medium,0
f-20260915-232113,2,2026-09-15T12:00:00+08:00,13,905.965,25,11,medium,0
f-20260915-232113,2,2026-09-15T13:00:00+08:00,14,853.636,21,15,medium,0
f-20260915-232113,2,2026-09-15T14:00:00+08:00,15,698.868,20,16,medium,0
f-20260915-232113,2,2026-09-15T15:00:00+08:00,16,774.28,21,15,medium,0
f-20260915-232113,2,2026-09-15T16:00:00+08:00,17,965.211,25,11,medium,0
f-20260915-232113,2,2026-09-15T17:00:00+08:00,18,1150.682,31,5,high,0
f-20260915-232113,2,2026-09-15T18:00:00+08:00,19,1214.891,33,3,high,1
f-20260915-232113,2,2026-09-15T19:00:00+08:00,20,1151.368,32,4,high,1
f-20260915-232113,2,2026-09-15T20:00:00+08:00,21,909.35,26,10,medium,0
f-20260915-232113,2,2026-09-15T21:00:00+08:00,22,712.014,20,16,medium,0
f-20260915-232113,2,2026-09-15T22:00:00+08:00,23,558.992,15,21,low,0
f-20260915-232113,2,2026-09-15T23:00:00+08:00,24,416.665,12,24,low,0
f-20260915-232113,3,2026-09-15T00:00:00+08:00,1,337.685,9,27,low,0
f-20260915-232113,3,2026-09-15T01:00:00+08:00,2,233.816,6,30,low,0
f-20260915-232113,3,2026-09-15T02:00:00+08:00,3,174.29,5,31,low,0
f-20260915-232113,3,2026-09-15T03:00:00+08:00,4,143.217,4,32,low,0
f-20260915-232113,3,2026-09-15T04:00:00+08:00,5,148.679,4,32,low,0
f-20260915-232113,3,2026-09-15T05:00:00+08:00,6,244.62,7,29,low,0
f-20260915-232113,3,2026-09-15T06:00:00+08:00,7,525.736,14,22,low,0
f-20260915-232113,3,2026-09-15T07:00:00+08:00,8,859.465,26,10,medium,0
f-20260915-232113,3,2026-09-15T08:00:00+08:00,9,1095.573,30,6,high,0
f-20260915-232113,3,2026-09-15T09:00:00+08:00,10,1031.786,28,8,medium,0
f-20260915-232113,3,2026-09-15T10:00:00+08:00,11,790.502,22,14,medium,0
f-20260915-232113,3,2026-09-15T11:00:00+08:00,12,696.599,19,17,medium,0
f-20260915-232113,3,2026-09-15T12:00:00+08:00,13,699.218,20,16,medium,0
f-20260915-232113,3,2026-09-15T13:00:00+08:00,14,689.621,19,17,medium,0
f-20260915-232113,3,2026-09-15T14:00:00+08:00,15,662.237,18,18,medium,0
f-20260915-232113,3,2026-09-15T15:00:00+08:00,16,713.432,19,17,medium,0
f-20260915-232113,3,2026-09-15T16:00:00+08:00,17,791.088,23,13,medium,0
f-20260915-232113,3,2026-09-15T17:00:00+08:00,18,983.677,27,9,medium,0
f-20260915-232113,3,2026-09-15T18:00:00+08:00,19,1148.009,32,4,high,1
f-20260915-232113,3,2026-09-15T19:00:00+08:00,20,1025.924,31,5,high,1
f-20260915-232113,3,2026-09-15T20:00:00+08:00,21,869.815,24,12,medium,0
f-20260915-232113,3,2026-09-15T21:00:00+08:00,22,687.542,19,17,medium,0
f-20260915-232113,3,2026-09-15T22:00:00+08:00,23,530.573,14,22,low,0
f-20260915-232113,3,2026-09-15T23:00:00+08:00,24,400.562,11,25,low,0
f-20260915-232113,4,2026-09-15T00:00:00+08:00,1,297.738,9,27,low,0
f-20260915-232113,4,2026-09-15T01:00:00+08:00,2,203.748,6,30,low,0
f-20260915-232113,4,2026-09-15T02:00:00+08:00,3,157.09,4,32,low,0
f-20260915-232113,4,2026-09-15T03:00:00+08:00,4,138.61,4,32,low,0
f-20260915-232113,4,2026-09-15T04:00:00+08:00,5,165.308,5,31,low,0
f-20260915-232113,4,2026-09-15T05:00:00+08:00,6,248.022,7,29,low,0
f-20260915-232113,4,2026-09-15T06:00:00+08:00,7,476.485,14,22,low,0
f-20260915-232113,4,2026-09-15T07:00:00+08:00,8,779.415,23,13,medium,0
f-20260915-232113,4,2026-09-15T08:00:00+08:00,9,1074.47,29,7,high,0
f-20260915-232113,4,2026-09-15T09:00:00+08:00,10,1043.544,27,9,medium,0
f-20260915-232113,4,2026-09-15T10:00:00+08:00,11,754.321,21,15,medium,0
f-20260915-232113,4,2026-09-15T11:00:00+08:00,12,693.582,19,17,medium,0
f-20260915-232113,4,2026-09-15T12:00:00+08:00,13,706.764,19,17,medium,0
f-20260915-232113,4,2026-09-15T13:00:00+08:00,14,664.358,19,17,medium,0
f-20260915-232113,4,2026-09-15T14:00:00+08:00,15,649.287,17,19,low,0
f-20260915-232113,4,2026-09-15T15:00:00+08:00,16,705.478,19,17,medium,0
f-20260915-232113,4,2026-09-15T16:00:00+08:00,17,837.189,22,14,medium,0
f-20260915-232113,4,2026-09-15T17:00:00+08:00,18,1007.234,27,9,medium,1
f-20260915-232113,4,2026-09-15T18:00:00+08:00,19,1121.603,31,5,high,1
f-20260915-232113,4,2026-09-15T19:00:00+08:00,20,996.136,29,7,high,0
f-20260915-232113,4,2026-09-15T20:00:00+08:00,21,822.55,23,13,medium,0
f-20260915-232113,4,2026-09-15T21:00:00+08:00,22,661.582,18,18,medium,0
f-20260915-232113,4,2026-09-15T22:00:00+08:00,23,482.921,13,23,low,0
f-20260915-232113,4,2026-09-15T23:00:00+08:00,24,372.734,10,26,low,0
f-20260915-232113,5,2026-09-15T00:00:00+08:00,1,301.328,9,27,low,0
f-20260915-232113,5,2026-09-15T01:00:00+08:00,2,198.461,6,30,low,0
f-20260915-232113,5,2026-09-15T02:00:00+08:00,3,170.981,5,31,low,0
f-20260915-232113,5,2026-09-15T03:00:00+08:00,4,153.504,4,32,low,0
f-20260915-232113,5,2026-09-15T04:00:00+08:00,5,133.011,4,32,low,0
f-20260915-232113,5,2026-09-15T05:00:00+08:00,6,233.881,6,30,low,0
f-20260915-232113,5,2026-09-15T06:00:00+08:00,7,465.978,13,23,low,0
f-20260915-232113,5,2026-09-15T07:00:00+08:00,8,692.205,20,16,medium,0
f-20260915-232113,5,2026-09-15T08:00:00+08:00,9,1014.625,28,8,medium,0
